"Date","Pioggia (mm)","","Temp. aria (�C)","","Umid.relat. aria (%)","","Dir. Vento (�)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
00:00:00 19/11/2012,         0.0,      1,         6.8,      1,        63.7,      1,         347,      1,         1.7,      1,       979.7,      1,      3724.6,      1
00:00:00 20/11/2012,         0.0,      1,         8.6,      1,        67.3,      1,          16,      1,         1.9,      1,       980.8,      1,      6687.1,      1
00:00:00 21/11/2012,         0.0,      1,         7.5,      1,        72.9,      1,         331,      1,         1.1,      1,       983.0,      1,      6505.1,      1
00:00:00 22/11/2012,         0.0,      1,         6.4,      1,        74.5,      1,         337,      1,         1.4,      1,       986.0,      1,      1743.2,      1
00:00:00 23/11/2012,         0.0,      1,         8.6,      1,        75.8,      1,         355,      1,         0.9,      1,       985.7,      1,      5367.3,      1
00:00:00 24/11/2012,         0.0,      1,         8.0,      1,        74.1,      1,           1,      1,         0.9,      1,       986.4,      1,      5878.1,      1
00:00:00 25/11/2012,         0.0,      1,         7.2,      1,        76.2,      1,         358,      1,         0.9,      1,       984.3,      1,      4280.2,      1
00:00:00 26/11/2012,         1.2,      1,         6.7,      1,        88.4,      1,         313,      1,         0.7,      1,       980.1,      1,       986.8,      1
00:00:00 27/11/2012,        15.6,      1,         9.3,      1,        91.6,      1,          57,      1,         1.5,      1,       971.9,      1,      1135.0,      1
00:00:00 28/11/2012,        72.6,      1,         7.5,      1,        93.4,      1,         321,      1,         1.5,      1,       960.6,      1,       115.4,      1
00:00:00 29/11/2012,        13.2,      1,         7.1,      1,        75.4,      1,         314,      1,         2.5,      1,       955.9,      1,      1963.9,      1
00:00:00 30/11/2012,         0.0,      1,         7.4,      1,        41.8,      1,         349,      1,         3.8,      1,       964.0,      1,      2907.3,      1
00:00:00 01/12/2012,         0.0,      1,         5.5,      1,        65.2,      1,           5,      1,         2.2,      1,       972.6,      1,      3436.4,      1
00:00:00 02/12/2012,         1.6,      1,         4.7,      1,        67.1,      1,           2,      1,         1.1,      1,       971.0,      1,      2846.1,      1
00:00:00 03/12/2012,         0.0,      1,         3.4,      1,        36.1,      1,           4,      1,         1.7,      1,       976.3,      1,      6091.3,      1
00:00:00 04/12/2012,         0.0,      1,         0.9,      1,        61.4,      1,         359,      1,         1.1,      1,       968.0,      1,      2049.5,      1
00:00:00 05/12/2012,         0.0,      1,         0.7,      1,        67.6,      1,          10,      1,         1.3,      1,       966.4,      1,      3235.8,      1
00:00:00 06/12/2012,         0.0,      1,         1.2,      1,        48.0,      1,         347,      1,         1.9,      1,       973.5,      1,      5736.9,      1
00:00:00 07/12/2012,         0.8,      1,        -1.6,      1,        57.3,      1,         330,      1,         1.3,      1,       974.2,      1,      2690.3,      1
00:00:00 08/12/2012,         0.2,      1,         1.9,      1,        44.8,      1,          41,      1,         3.3,      1,       971.3,      1,      1737.3,      1
00:00:00 09/12/2012,         0.0,      1,         0.7,      1,        30.2,      1,         348,      1,         1.2,      1,       981.0,      1,      5678.4,      1
00:00:00 10/12/2012,         0.0,      1,        -0.4,      1,        51.7,      1,          27,      1,         1.2,      1,       972.3,      1,      3448.0,      1
00:00:00 11/12/2012,         0.0,      1,         1.3,      1,        40.5,      1,         353,      1,         2.3,      1,       977.4,      1,      5296.8,      1
00:00:00 12/12/2012,         0.0,      1,        -1.0,      1,        35.7,      1,           2,      1,         1.5,      1,       983.8,      1,      5524.0,      1
00:00:00 13/12/2012,         0.0,      1,        -3.0,      1,        43.1,      1,         333,      1,         1.3,      1,       985.2,      1,      4875.2,      1
00:00:00 14/12/2012,         6.2,      1,        -2.5,      1,        82.1,      1,         321,      1,         1.3,      1,       982.7,      1,       748.5,      1
00:00:00 15/12/2012,        26.0,      1,        -0.4,      1,        92.8,      1,         328,      1,         1.0,      1,       976.2,      1,       691.5,      1
00:00:00 16/12/2012,         3.4,      1,         1.2,      1,        92.8,      1,         347,      1,         1.5,      1,       977.6,      1,      3113.6,      1
00:00:00 17/12/2012,         0.0,      1,         2.6,      1,        90.3,      1,           2,      1,         1.7,      1,       974.6,      1,      3222.8,      1
00:00:00 18/12/2012,         0.0,      1,         2.3,      1,        76.5,      1,         357,      1,         1.7,      1,       975.9,      1,      4929.8,      1
00:00:00 19/12/2012,         0.0,      1,         1.4,      1,        66.0,      1,          16,      1,         1.1,      1,       983.8,      1,      5382.7,      1
00:00:00 20/12/2012,         0.0,      1,        -0.3,      1,        62.4,      1,         343,      1,         1.1,      1,       983.3,      1,      3742.0,      1
00:00:00 21/12/2012,         0.8,      1,        -0.1,      1,        77.3,      1,         344,      1,         0.7,      1,       976.9,      1,      2643.3,      1
00:00:00 22/12/2012,         0.0,      1,         0.7,      1,        71.1,      1,         350,      1,         0.9,      1,       982.3,      1,      4391.1,      1
00:00:00 23/12/2012,         0.0,      1,         1.5,      1,        75.5,      1,         349,      1,         0.7,      1,       981.8,      1,      3090.9,      1
00:00:00 24/12/2012,         0.0,      1,         2.4,      1,        77.4,      1,          59,      1,         0.9,      1,       984.8,      1,      4331.0,      1
00:00:00 25/12/2012,         0.0,      1,         2.7,      1,        82.8,      1,         330,      1,         0.8,      1,       983.0,      1,       530.1,      1
00:00:00 26/12/2012,         5.4,      1,         2.8,      1,        91.5,      1,         334,      1,         0.9,      1,       979.2,      1,       594.4,      1
00:00:00 27/12/2012,         0.2,      1,         1.6,      1,        84.7,      1,          44,      1,         2.3,      1,       981.1,      1,      4268.8,      1
00:00:00 28/12/2012,         0.0,      1,         4.4,      1,        65.9,      1,           4,      1,         2.0,      1,       985.7,      1,      5239.3,      1
00:00:00 29/12/2012,         0.0,      1,         2.4,      1,        60.6,      1,           6,      1,         1.3,      1,       991.0,      1,      4125.2,      1
00:00:00 30/12/2012,         0.0,      1,         1.8,      1,        63.8,      1,           5,      1,         1.3,      1,       986.9,      1,      5320.0,      1
00:00:00 31/12/2012,         0.0,      1,         2.4,      1,        60.9,      1,          11,      1,         1.5,      1,       988.6,      1,      5365.7,      1
00:00:00 01/01/2013,         0.0,      1,         1.2,      1,        64.3,      1,         354,      1,         0.9,      1,       981.0,      1,      5104.5,      1
00:00:00 02/01/2013,         1.4,      1,         2.3,      1,        80.7,      1,           2,      1,         1.5,      1,       985.5,      1,      2687.5,      1
00:00:00 03/01/2013,         0.0,      1,         3.1,      1,        60.4,      1,         346,      1,         1.5,      1,       996.5,      1,      4880.6,      1
00:00:00 04/01/2013,         0.0,      1,         4.1,      1,        62.7,      1,         344,      1,         1.0,      1,       992.3,      1,      5075.4,      1
00:00:00 05/01/2013,         0.0,      1,        10.2,      1,        49.4,      1,         328,      1,         2.3,      1,       984.7,      1,      5676.3,      1
00:00:00 06/01/2013,         0.0,      1,         9.9,      1,        45.9,      1,         354,      1,         1.6,      1,       983.2,      1,      4905.1,      1
00:00:00 07/01/2013,         0.0,      1,         9.4,      1,        42.7,      1,          38,      1,         1.9,      1,       983.7,      1,      5735.4,      1
00:00:00 08/01/2013,         0.0,      1,         4.2,      1,        70.7,      1,          80,      1,         1.5,      1,       987.2,      1,      4071.1,      1
00:00:00 09/01/2013,         0.0,      1,         4.2,      1,        73.4,      1,         337,      1,         1.0,      1,       984.2,      1,      5143.7,      1
00:00:00 10/01/2013,         0.0,      1,         4.1,      1,        76.7,      1,         343,      1,         0.8,      1,       975.5,      1,      3430.3,      1
00:00:00 11/01/2013,         0.0,      1,         2.5,      1,        74.4,      1,          15,      1,         2.3,      1,       972.2,      1,      5795.7,      1
00:00:00 12/01/2013,         0.0,      1,         1.9,      1,        59.8,      1,          61,      1,         3.0,      1,       977.7,      1,      5496.0,      1
00:00:00 13/01/2013,         0.6,      1,         1.6,      1,        74.9,      1,         344,      1,         1.2,      1,       974.9,      1,      3478.1,      1
00:00:00 14/01/2013,         5.0,      1,         2.5,      1,        82.7,      1,          44,      1,         1.3,      1,       970.9,      1,      2032.3,      1
00:00:00 15/01/2013,         2.4,      1,         2.0,      1,        88.4,      1,         312,      1,         1.1,      1,       969.1,      1,      2279.5,      1
00:00:00 16/01/2013,         1.8,      1,         2.2,      1,        63.1,      1,         316,      1,         3.6,      1,       962.3,      1,      1411.5,      1
00:00:00 17/01/2013,         0.0,      1,         3.7,      1,        26.0,      1,          80,      1,         3.7,      1,       963.2,      1,      3080.4,      1
00:00:00 18/01/2013,         0.0,      1,         2.4,      1,        33.3,      1,         331,      1,         2.4,      1,       965.1,      1,      5410.6,      1
00:00:00 19/01/2013,         2.4,      1,        -0.5,      1,        67.0,      1,         348,      1,         1.1,      1,       964.3,      1,      3063.5,      1
00:00:00 20/01/2013,        12.0,      1,        -0.2,      1,        92.1,      1,         320,      1,         0.9,      1,       963.0,      1,       714.1,      1
00:00:00 21/01/2013,         9.0,      1,         1.5,      1,        91.6,      1,         319,      1,         1.0,      1,       959.1,      1,      3061.9,      1
00:00:00 22/01/2013,         3.8,      1,         3.8,      1,        78.8,      1,          26,      1,         1.7,      1,       964.3,      1,      2938.1,      1
00:00:00 23/01/2013,         0.0,      1,         1.9,      1,        70.1,      1,         343,      1,         1.5,      1,       970.9,      1,      5915.5,      1
00:00:00 24/01/2013,         0.4,      1,         1.7,      1,        60.7,      1,         352,      1,         1.6,      1,       966.3,      1,      3778.2,      1
00:00:00 25/01/2013,         0.0,      1,         2.9,      1,        45.4,      1,          12,      1,         1.9,      1,       970.6,      1,      7219.3,      1
00:00:00 26/01/2013,         0.0,      1,        -0.4,      1,        51.3,      1,           3,      1,         1.3,      1,       974.6,      1,      7311.2,      1
00:00:00 27/01/2013,         0.0,      1,         0.1,      1,        55.3,      1,         346,      1,         1.1,      1,       977.0,      1,      6412.0,      1
00:00:00 28/01/2013,         0.0,      1,         1.6,      1,        66.6,      1,          25,      1,         1.4,      1,       978.3,      1,      1966.4,      1
00:00:00 29/01/2013,         0.0,      1,         1.6,      1,        64.7,      1,           1,      1,         1.0,      1,       985.2,      1,      6706.6,      1
00:00:00 30/01/2013,         0.0,      1,         2.4,      1,        67.1,      1,          46,      1,         1.2,      1,       982.3,      1,      6365.0,      1
00:00:00 31/01/2013,         0.0,      1,         3.7,      1,        73.0,      1,         133,      1,         1.3,      1,       982.2,      1,      7895.1,      1
00:00:00 01/02/2013,         0.0,      1,         2.7,      1,        73.3,      1,          45,      1,         1.7,      1,       973.2,      1,      6519.6,      1
00:00:00 02/02/2013,         8.8,      1,         4.9,      1,        61.0,      1,          10,      1,         3.2,      1,       957.9,      1,       948.9,      1
00:00:00 03/02/2013,         0.0,      1,         6.8,      1,        18.4,      1,          55,      1,         5.2,      1,       973.2,      1,      8223.2,      1
00:00:00 04/02/2013,         0.0,      1,         4.0,      1,        40.9,      1,          14,      1,         1.6,      1,       978.9,      1,      8404.6,      1
00:00:00 05/02/2013,         0.0,      1,         2.4,      1,        59.9,      1,          50,      1,         2.5,      1,       973.1,      1,      5471.2,      1
00:00:00 06/02/2013,         2.4,      1,         3.5,      1,        65.7,      1,         356,      1,         2.0,      1,       961.2,      1,      8762.9,      1
00:00:00 07/02/2013,         0.0,      1,         3.3,      1,        41.9,      1,           6,      1,         2.1,      1,       967.2,      1,      8191.5,      1
00:00:00 08/02/2013,         0.0,      1,         2.0,      1,        29.3,      1,         341,      1,         2.2,      1,       972.2,      1,      9269.6,      1
00:00:00 09/02/2013,         0.0,      1,         1.0,      1,        27.5,      1,         330,      1,         2.5,      1,       975.3,      1,      6602.4,      1
00:00:00 10/02/2013,         0.0,      1,        -1.0,      1,        28.5,      1,         352,      1,         2.0,      1,       976.2,      1,      9622.8,      1
00:00:00 11/02/2013,         2.8,      1,        -3.0,      1,        61.0,      1,         320,      1,         1.5,      1,       970.5,      1,      1679.9,      1
00:00:00 12/02/2013,        10.2,      1,        -0.8,      1,        91.6,      1,         318,      1,         0.9,      1,       966.9,      1,      3603.5,      1
00:00:00 13/02/2013,         0.0,      1,         3.2,      1,        55.4,      1,         337,      1,         2.2,      1,       974.8,      1,      9958.1,      1
00:00:00 14/02/2013,         0.0,      1,         3.3,      1,        41.3,      1,         357,      1,         1.5,      1,       980.3,      1,      4274.6,      1
00:00:00 15/02/2013,         0.0,      1,         3.0,      1,        57.7,      1,          30,      1,         1.0,      1,       978.9,      1,      8203.3,      1
00:00:00 16/02/2013,         0.0,      1,         3.9,      1,        58.1,      1,          30,      1,         1.5,      1,       982.8,      1,      8321.4,      1
00:00:00 17/02/2013,         0.0,      1,         4.0,      1,        61.3,      1,          32,      1,         1.5,      1,       981.9,      1,      8730.9,      1
00:00:00 18/02/2013,         0.2,      1,         3.7,      1,        63.7,      1,          15,      1,         1.7,      1,       980.3,      1,     10623.9,      1
00:00:00 19/02/2013,         0.0,      1,         2.5,      1,        53.8,      1,         345,      1,         1.7,      1,       977.4,      1,     10069.8,      1
00:00:00 20/02/2013,         0.0,      1,         3.1,      1,        61.3,      1,          28,      1,         2.6,      1,       975.1,      1,      9248.5,      1
00:00:00 21/02/2013,         4.4,      1,         1.6,      1,        80.8,      1,          31,      1,         0.9,      1,       973.2,      1,      3603.2,      1
00:00:00 22/02/2013,         4.0,      1,         0.7,      1,        79.0,      1,          27,      1,         0.6,      1,       967.1,      1,      7679.8,      1
00:00:00 23/02/2013,         0.4,      1,         0.4,      1,        69.2,      1,          17,      1,         1.5,      1,       965.5,      1,      5852.7,      1
00:00:00 24/02/2013,         6.8,      1,         0.6,      1,        90.1,      1,         343,      1,         0.8,      1,       967.8,      1,      2497.2,      1
00:00:00 25/02/2013,         0.2,      1,         1.7,      1,        80.1,      1,          15,      1,         1.4,      1,       979.5,      1,      5509.6,      1
00:00:00 26/02/2013,         0.0,      1,         3.4,      1,        57.9,      1,          14,      1,         1.8,      1,       983.8,      1,     11645.8,      1
00:00:00 27/02/2013,         0.2,      1,         5.2,      1,        69.0,      1,          93,      1,         1.9,      1,       984.9,      1,      5844.8,      1
00:00:00 28/02/2013,         0.0,      1,         6.6,      1,        70.4,      1,          54,      1,         1.4,      1,       985.8,      1,      6912.1,      1
00:00:00 01/03/2013,         0.0,      1,         6.5,      1,        67.8,      1,          16,      1,         1.6,      1,       981.5,      1,     12555.2,      1
00:00:00 02/03/2013,         0.0,      1,         6.3,      1,        62.0,      1,          34,      1,         1.7,      1,       980.7,      1,     12862.7,      1
00:00:00 03/03/2013,         0.0,      1,         7.1,      1,        55.3,      1,          12,      1,         1.7,      1,       980.3,      1,     13098.0,      1
00:00:00 04/03/2013,         0.0,      1,         7.5,      1,        44.7,      1,          21,      1,         2.3,      1,       983.2,      1,     13563.7,      1
00:00:00 05/03/2013,         0.0,      1,         7.1,      1,        42.7,      1,          11,      1,         1.8,      1,       984.1,      1,      9369.1,      1
00:00:00 06/03/2013,         4.0,      1,         6.3,      1,        71.3,      1,          26,      1,         2.3,      1,       976.6,      1,      3146.9,      1
00:00:00 07/03/2013,         2.8,      1,         7.4,      1,        86.4,      1,         340,      1,         0.9,      1,       969.6,      1,      5276.9,      1
00:00:00 08/03/2013,         3.6,      1,         9.1,      1,        88.5,      1,          30,      1,         1.6,      1,       967.5,      1,      5555.9,      1
00:00:00 09/03/2013,         5.6,      1,         9.1,      1,        89.5,      1,          31,      1,         1.7,      1,       966.0,      1,      3278.1,      1
00:00:00 10/03/2013,         3.0,      1,        10.1,      1,        75.6,      1,         356,      1,         1.7,      1,       963.1,      1,      9407.9,      1
00:00:00 11/03/2013,         0.0,      1,        10.1,      1,        66.7,      1,           0,      1,         1.8,      1,       962.2,      1,     12115.8,      1
00:00:00 12/03/2013,         0.0,      1,         9.2,      1,        64.9,      1,          90,      1,         2.7,      1,       960.7,      1,     10335.1,      1
00:00:00 13/03/2013,         0.0,      1,         8.0,      1,        71.6,      1,          99,      1,         2.3,      1,       958.4,      1,      5701.8,      1
00:00:00 14/03/2013,         1.6,      1,         6.4,      1,        26.6,      1,          28,      1,         4.1,      1,       958.8,      1,     14108.7,      1
00:00:00 15/03/2013,         0.0,      1,         3.8,      1,        12.7,      1,          38,      1,         5.3,      1,       969.7,      1,     15464.8,      1
00:00:00 16/03/2013,         0.0,      1,         3.3,      1,        26.2,      1,         199,      1,         2.7,      1,       980.2,      1,     15560.3,      1
00:00:00 17/03/2013,         3.0,      1,         3.4,      1,        62.9,      1,         155,      1,         1.5,      1,       977.1,      1,      5752.2,      1
00:00:00 18/03/2013,        26.2,      1,         0.2,      1,        92.6,      1,         328,      1,         0.8,      1,       960.9,      1,      1556.0,      1
00:00:00 19/03/2013,        10.4,      1,         4.2,      1,        81.5,      1,         336,      1,         1.5,      1,       964.3,      1,     15000.2,      1
00:00:00 20/03/2013,         5.2,      1,         5.1,      1,        70.9,      1,          56,      1,         1.2,      1,       970.7,      1,     10477.0,      1
00:00:00 21/03/2013,         0.0,      1,         9.0,      1,        42.8,      1,           7,      1,         2.3,      1,       973.8,      1,     17310.9,      1
00:00:00 22/03/2013,         0.0,      1,         8.0,      1,        37.4,      1,         359,      1,         2.5,      1,       975.2,      1,     16655.7,      1
00:00:00 23/03/2013,         0.0,      1,         8.1,      1,        55.3,      1,         348,      1,         1.9,      1,       974.5,      1,      8928.6,      1
00:00:00 24/03/2013,         6.8,      1,         7.2,      1,        79.6,      1,         359,      1,         2.0,      1,       971.5,      1,      2986.6,      1
00:00:00 25/03/2013,         9.6,      1,         5.3,      1,        85.4,      1,         289,      1,         2.1,      1,       964.7,      1,      6340.7,      1
00:00:00 26/03/2013,         4.4,      1,         2.5,      1,        86.5,      1,         163,      1,         1.4,      1,       965.1,      1,      3200.6,      1
00:00:00 27/03/2013,         0.2,      1,         4.4,      1,        73.8,      1,         329,      1,         1.3,      1,       970.1,      1,      7560.4,      1
00:00:00 28/03/2013,        12.2,      1,         4.5,      1,        76.3,      1,          58,      1,         2.2,      1,       974.9,      1,      5146.5,      1
00:00:00 29/03/2013,         0.8,      1,         4.6,      1,        84.1,      1,         286,      1,         0.9,      1,       969.6,      1,      6036.2,      1
00:00:00 30/03/2013,        24.8,      1,         6.2,      1,        88.5,      1,         350,      1,         2.1,      1,       964.5,      1,      2616.3,      1
00:00:00 31/03/2013,         0.4,      1,         8.5,      1,        65.7,      1,         341,      1,         2.7,      1,       961.4,      1,     10253.2,      1
00:00:00 01/04/2013,         0.0,      1,         6.8,      1,        55.4,      1,         337,      1,         2.0,      1,       968.1,      1,     13538.2,      1
00:00:00 02/04/2013,         0.0,      1,         9.7,      1,        59.2,      1,         327,      1,         1.9,      1,       964.6,      1,     16358.6,      1
00:00:00 03/04/2013,         0.0,      1,        10.3,      1,        60.5,      1,         301,      1,         1.7,      1,       967.2,      1,     13589.2,      1
00:00:00 04/04/2013,         0.8,      1,         9.5,      1,        61.1,      1,         153,      1,         1.8,      1,       970.1,      1,      8750.1,      1
00:00:00 05/04/2013,         8.6,      1,         7.9,      1,        81.2,      1,          74,      1,         2.9,      1,       965.4,      1,      5837.1,      1
00:00:00 06/04/2013,         0.4,      1,        10.2,      1,        74.3,      1,         124,      1,         1.6,      1,       972.1,      1,     11635.5,      1
00:00:00 07/04/2013,         0.6,      1,         9.8,      1,        70.0,      1,          19,      1,         2.1,      1,       974.2,      1,     10226.4,      1
00:00:00 08/04/2013,         0.8,      1,         6.6,      1,        72.2,      1,          62,      1,         2.2,      1,       972.3,      1,      4524.1,      1
00:00:00 09/04/2013,         0.8,      1,         7.7,      1,        74.6,      1,         179,      1,         1.3,      1,       971.0,      1,      8715.1,      1
00:00:00 10/04/2013,         0.0,      1,        11.1,      1,        59.2,      1,         312,      1,         1.7,      1,       973.5,      1,     20025.1,      1
00:00:00 11/04/2013,         2.0,      1,        10.3,      1,        69.1,      1,          55,      1,         1.7,      1,       976.6,      1,      4103.0,      1
00:00:00 12/04/2013,         4.0,      1,        12.3,      1,        76.9,      1,          40,      1,         2.5,      1,       971.8,      1,      7634.6,      1
00:00:00 13/04/2013,         0.0,      1,        13.9,      1,        54.4,      1,         352,      1,         2.3,      1,       981.5,      1,     19153.0,      1
00:00:00 14/04/2013,         0.0,      1,        14.6,      1,        50.4,      1,         352,      1,         2.0,      1,       989.6,      1,     19051.3,      1
00:00:00 15/04/2013,         0.0,      1,        16.5,      1,        53.7,      1,         343,      1,         2.0,      1,       985.7,      1,     20120.2,      1
00:00:00 16/04/2013,         0.0,      1,        17.6,      1,        54.0,      1,          29,      1,         2.8,      1,       984.6,      1,     18595.2,      1
00:00:00 17/04/2013,         0.0,      1,        18.0,      1,        51.8,      1,         359,      1,         2.1,      1,       985.9,      1,     19302.6,      1
00:00:00 18/04/2013,         0.0,      1,        18.9,      1,        50.8,      1,           1,      1,         2.2,      1,       982.5,      1,     19124.4,      1
00:00:00 19/04/2013,         1.6,      1,        18.9,      1,        52.9,      1,          99,      1,         3.8,      1,       977.7,      1,     16197.6,      1
00:00:00 20/04/2013,        23.4,      1,         9.5,      1,        90.5,      1,         328,      1,         1.9,      1,       980.7,      1,      1923.7,      1
